title_id,title_name_kr,title_name_en,title_url,title_image,views,likes,rating,rating_count,tags,genre,art_author,content_format,synopsis,pitch,creator_id,created_at,updated_at,story_author,comps,tagline,description,completed,chapters,perfect_for,tone,audience,rights
903a1baf-018e-46f2-b01a-6c6efa6627f9,,Punch Drunk Love,,,1000000,,,,[],LGBTQ+,Okdong,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,MOSCARETO,"Red, White and Royal Blue, Two Weeks Notice",Love is like a punch to the face.,"Sunwoo is a perfectly ordinary guy with a perfectly ordinary life. So it's no wonder he's enamored by his coworker Taemoon. The guy's handsome, charming, and a total ten! But when Sunwoo catches a glimpse of his crush's texts one day, he realizes that their days at work will be anything but ordinary.",ONGOING,18,DRAMA SERIES,PLAYFUL,ADULTS 18-34,MANTA/RIDI
982b733b-d7cf-4973-9a9d-c142d3510c1c,,"Juliet, We're Not in Kansas Anymore!",,,1000000,,,,[],HIGH CONCEPT,Leeho,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 10:56:58.465065+00,"Heen-doyo, Leeho",The Kissing Booth,The course of true love never did run smooth – especially for a high school girl with the tragically romantic name of Juliet!,"As far as high school junior Juliet Holiday is concerned, her real tragedy is sharing a name with such a famous character. Then along comes a charming British transfer student named none other than Romeo. Did fate lead him to this small Kansas town? Pray tell, who's the real Romeo in Juliet's story?",ONGOING,35,YA ROM-COM,EXCITING,ADULTS 16-34,MANTA/RIDI
98d5f521-7d17-4dc2-a27d-8dadb6e5a215,,I Lived in a Shelter,,,1000000,,,,[],DRAMA,Haram,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Haram,Where the Day Takes You,A heartfelt story about an important social issue,"The journey of overcoming abuse.
Haram is running away from home for the third time. After struggling with life in a dormitory, she's decided to stay at a shelter for homeless adolescents. Haram is worried about living with others while managing her depression and trauma... but she's determined to find happiness.",COMPLETED,48,FEATURE FILM,INSPIRING,ADULTS 18-34,MANTA/RIDI
99723d35-b5fb-4d86-96be-cbf726edcdd6,,You Get Me Going,,,1000000,,,,[],LGBTQ+,Oh DoYeon,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,MOSCARETO,An LGBTQ+ version of A Business Proposal,A spritely LGBTQ+ workplace romance!,"Youngwon yearns for true love, but his overbearing nature always leads to failed relationships. Lately, he finds himself clashing with his polar opposite, Hyunwoo, at work. However, things heat up when they go on a business trip together. Will these sparks of enmity turn to love?",ONGOING,15,COMEDY FEATURE,PLAYFUL,ADULTS 18-34,MANTA/RIDI
9b75c837-a3e0-4dc6-8517-ff15da83428a,,The Secret of Umbra,,,1000000,,,,[],LGBTQ+,Jamsino,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Jamsino,"Heartstopper, Outer Banks","An impressive blend of mystery, romance and supernatural elements
An intriguing setting that adds atmosphere and international appeal","When Gabriele is forced to move away from his city life to a rural town in Italy, he is determined to hate everything about Umbra. The town's so old, and everyone his age looks miserable. He's never gonna adjust, and he's gonna miss his big city life. Except, there's a mystery here — one of love.",COMPLETED,52,DRAMA SERIES,EERIE,ADULTS 18-34,MANTA/RIDI
9d5bcf69-4dac-4c19-a1bb-cdc85a3b9b3d,,Let's Get You Better,,,1000000,,,,[],ROMANTIC THRILLER,Haerong,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Song Eun Ho, null",Sweet November,A strange love story,"A hot guy appears with drugs?!
Plagued by health issues, Boni Min is basically a walking hospital. Then, one day a mysterious guy appears. He moves in, gives her medicine, and explains them all to her. Turns out the information is quite useful! Soon enough, Boni finds herself falling for his cold-but-warm-hearted charms...",COMPLETED,16,DRAMA SERIES,SUSPENSEFUL,ADULTS 18-34,MANTA/RIDI
9f8b4455-50e2-4310-97e5-581846ebf401,,The Devil and His Sacrifice,,,2000000,,,,[],ROMANCE,ULTRAMEDIA,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Kimpa, ULTRAMEDIA",The King & I,Can love bloom in a wasteland?,"A captive princess doomed to become a living sacrifice, and a savage, murderous prince intent on overtaking his three older brothers and seizing the throne. Caught up in a deadly dance with destiny in a brutal, drought-stricken desert, can they overcome their grim fates… and perhaps, find love?",ONGOING,42,DRAMA SERIES,EPIC,ADULTS 18-34,MANTA/RIDI
a51ba8cc-1234-4804-8c61-61084f7830a1,,Werewolves Going Crazy Over Me,,,2000000,,,,[],SUPERNATURAL,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 11:00:01.848497+00,Manta Comics,Vampire Diaries,A medical drama mixed with a supernatural soap – a truly original idea,"A dangerous love affair with a werewolf.
Single mother Olivia finds Damian dying on the streets and takes him home. Before long, the two are sharing a passionate kiss. Damian soon realizes the side effects of the drug suppressing his werewolf instincts vanish when he is with her. Now he must find a way to keep her around, no matter the cost.",ONGOING,23,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
a60068f9-c7e1-4a90-bedf-6916e37c8dc9,,blank,,,1000000,,,,[],THRILLER,lins,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 10:19:49.835366+00,lins,Memento,"A great, grounded high concept erotic thriller","Is this my second chance at life?
After waking up from a 3-month coma, Nina doesn’t remember anything about herself. The only clue she has is a music box with her name written on it. 
Gradually, fragments of her memories come back to her. Among them is a memory of a guy who gave her the mysterious music box. Who is he? Is he the key to recovering Nina’s missing memories – and the secret about the assault that nearly took her life?",ONGOING,35,FEATURE FILM,SUSPENSEFUL,ADULTS 18-34,MANTA/RIDI
a70c08d1-54b5-4361-a715-b96dac5cfb78,,The Redemption of Earl Nottingham,,,1000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 10:59:22.006898+00,boem1800,Pride and Prejudice,Is Madelyn's cursed husband's fate up to her?,"Madelyn's husband Ian was left broken after the war, and in turn, made her life a living hell. Fleeing her doomed marriage, she meets a tragic end. But when she opens her eyes, she finds herself at 17 again. The war has yet to start, and Madelyn can still change her fate. But what about Ian?",ONGOING,9,DRAMA SERIES,MAGICAL,ADULTS 18-34,MANTA/RIDI
