title,english_title,url,genre,writer,artist,original,featured,pages,characters,synopsis,story_synopsis,cover_image,link,status
"재밌니, 짝사랑",Crush on You,https://www.toons.kr/025ba267-4013-458b-82b8-2a489d848a6c,"로맨스,드라마,성장,일상",손길,손길,"- 피키툰 ‘날라리’로 데뷔한 손길 작가의 차기작 - 카카오페이지 밀리언페이지 등극 - 카카오페이지 120만 구독자 보유 - 인도네시아, 스페인-북미, 대만, 태국, 일본, 중국 연재 - 드라마 계약 완료",,10,,"- 피키툰 ‘날라리’로 데뷔한 손길 작가의 차기작 - 카카오페이지 밀리언페이지 등극 - 카카오페이지 120만 구독자 보유 - 인도네시아, 스페인-북미, 대만, 태국, 일본, 중국 연재 - 드라마 계약 완료",,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://page.kakao.com/home?seriesId=50744771,연재 종료
후드,,https://www.toons.kr/05da5799-4668-4e81-87ff-2aa31942e07b,"판타지,소년,액션",후렛샤,595,,,2,,,"오직 인싸가 되는 것만이 관심사인 평범한 고등학생 김혁.친구들의 관심이 너무 고파 중고거래로 얻은 후드를 입었는데, 어? 이게 뭐야??괴상한 능력이 내 몸을 감싸고, 내 몸이 공중에 떠오르며…나에게 하늘을 날 수 있는 초능력이 생겼다!!!고대신의 힘을 가진 전설의 힘 샥티가 깃든 후드를 입고K-슈퍼패션고딩히어로가 된다!!TOP",https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,네이버 매일 플러스,
전 여친,ex_girlfriend,https://www.toons.kr/063e878f-ed0b-4a99-b604-36bda2e756a5,성인,도쿠하쿠,말랑,탑툰 구독자 600만,,,,탑툰 구독자 600만,,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://toptoon.com/comic/ep_list/ex_girlfriend_comic_fa,연재 종료
드리밍,dreaming,https://www.toons.kr/0b5147ec-a3e3-4a09-8319-21705e1160e6,"로맨스,드라마",달짱,달짱,,,,,,,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://series.naver.com/comic/detail.series?productNo=3155964,연재 종료
스마트폰 중독자,smartphone addict,https://www.toons.kr/0d3ff44c-8a6a-4cff-8340-00e904bf5031,"로맨스,개그,판타지,스토리,성장,일상,학원",용현동,용현동,,,,,,"성장일상학원연재 페이지https://page.kakao.com/home?seriesId=55929080글용현동그림용현동3 more properties캐릭터주다무한 가지 핸드폰을 10년째 쓰고 있는 평범하지 않은 대한민국 고등학생. 오늘만 사는 스타일로, 도도하고 솔직하며 당당한 성격이라 어딜가도 쉽게 기죽지 않는다.주둥이다무의 엄마가 다무에게 선물한 첫 핸드폰. 평소에 약간 멍한 듯 감정이 둔해 보이나 인간의 모습으로 지내는 시간이 많아질수록 점점 자아가 생겨난다.도연우얼리어답터로 핸드폰은 물론 맥북, 아이패드, 에어팟 등을 최신형 모델로 소지하고 있으며 각종 전자기기에 능통하다. 아직도 갤럭시S2를 정성을 다해 쓰고 있는 다무를 보고 호기심을 갖게 된다.시놉시스스마트폰 중독자인 주다무, 여느때와 같이 핸드폰을 손에서 놓지 않고 있는데, 체육시간에 재수없게 다무에게 날아 든 공으로 인해 핸드폰이 박살 나고야 만다.수리를 예약하고 집에서 쭈구려 앉아 슬퍼하고 있는 순간 핸드폰이 검은 남자 사람으로 변해 다무의 앞에 나타난다. 그의 존재는 무엇이며 다무의 앞에 나타난 이유는 과연 무엇일까?TOP",https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://page.kakao.com/home?seriesId=55929080,live 연재 중
영웅 강철남,steelman,https://www.toons.kr/0d489c18-5f7f-435d-b749-bb3c64fe2efb,블랙코미디,현용민,현용민,,,,,,대한민국의 미래를 위해 청년 ‘박진감'이 '영웅 강철남'으로 재탄생해서 겪는 이야기가 펼쳐진다.,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://series.naver.com/comic/detail.series?productNo=5891643,연재 종료
도대체 왜?인구단,why_club,https://www.toons.kr/0da70af8-46b7-42f4-8825-624fac99d286,"일상,개그",현용민,현용민,,,,,,1980~90년대를 주름잡던 국민 만화의 주인공들이 괴상하게 돌아왔다 !,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://series.naver.com/comic/detail.series?productNo=5936666,연재 종료
나비인간,butterfly_girl,https://www.toons.kr/0e2aef03-3815-40e5-9267-47206e593667,드라마,현,현,"구독자 13.4만, 스페인과 북미 해외 연재",,37,,"구독자 13.4만, 스페인과 북미 해외 연재",,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://page.kakao.com/home?seriesId=54737612,연재 종료
날라리,Punk,https://www.toons.kr/0e8daf1d-5542-4059-b946-4b46b7253af9,"로맨스,일상,드라마,학원",손길,손길,"- 카카오페이지 구독자 70만 이상 - 카카오페이지 2018년 기준 매출 1억 달성 - 피키툰 연재 당시 요일 1위 작품 - 일본, 북미 연재",,,,"- 카카오페이지 구독자 70만 이상 - 카카오페이지 2018년 기준 매출 1억 달성 - 피키툰 연재 당시 요일 1위 작품 - 일본, 북미 연재",,https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://page.kakao.com/home?seriesId=50391329,연재 종료
우주를 9번 건너,Cross the universe nine times.,https://www.toons.kr/0ed8dff7-b839-4c80-93b0-0eeed8516ef8,"개그,일상,판타지,성장,스토리,로맨스,학원",그냥연어,그냥연어,,,27,,,"로맨스학원연재 페이지https://series.naver.com/comic/detail.series?productNo=6136190글그냥연어그림그냥연어3 more properties캐릭터지섬옥묘운에게 신비한 힘을 받은 아이의 마지막 9번째 환생인. 신의 힘을 받은 탓에 어릴 적부터 검은 형체의 악귀들이 보인다. 중학교 때부터 태권도 유망주로 불렸으나 악귀로 인한 사고로 다리를 다치게 되었고, 그 트라우마로 운동을 접고 재활치료도 거부한다.묘운‘묘운산’의 산신으로 세상에 태어나자마자 영문도 모르는 채 몇백년 동안 산의 정기를 관리하고 영물을 돌보고 있다. 그러다 산에서 마주친 여자아이에게 호기심을 느끼게 되고 처음으로 누군가에게 받은 애정과 보살핌에 아이에게 깊게 빠져들게 된다.남재원어릴적 섬옥과 같은 체육관에 다녔고, 뛰어난 운동 신경을 가진 섬옥을 질투하면서도 동경했다. 섬옥이 귀신을 본다는 소문을 듣고 무서운 마음에 잠깐 선옥을 피해 다닌적도 있지만 선옥에게 유일한 절친한 친구이다.문 지아나이 차가 많이 나는 운동 선수 오빠 3명과 거칠게 자라온 부잣집 막내 딸로 이상형이 강한 사람이다. 어릴 적 태권도 대회에 나가 금메달을 휩쓴 섬옥을 보고 반해 몰래 섬옥을 훔쳐보며 마음에 담고 있다. 재원을 굉장히 거슬려 하며 그를 없애기 위해 무서운 계획을 짜 놓고 있다.시놉시스‘산신’ 묘운의 힘으로 인해 9번의 환생 끝에 인간으로 태어난 ‘섬옥’은 악귀에게 목숨을 위협 받게 되고, 그것을 막기 위해 수백 년 간 섬옥의 곁을 지켜온 묘운은 ‘지섬옥 무병장수 프로젝트’를 위해 섬옥이 다니는 학교의 학생으로 잠입하게 된다.섬옥이 악귀들에게 목숨을 위협 받고 있는 이유는 무엇이며 , 왜 산신 묘운은 끝까지 섬옥을 지켜내려 하는 것일까?TOP",https://oopy.lazyrockets.com/api/rest/cdn/image/ebb49060-f1f9-4631-8126-661c77d5fc27.png,https://series.naver.com/comic/detail.series?productNo=6136190,live 연재 중
